,date,rank,song,artist,last-week,peak-rank,max-weeks-on-board
71,1975-11-15,54,(How I Spent My Summer Vacation) Or A Day At The Beach With Pedro & Man - P,Cheech & Chong,54.0,54,5.0
72,1986-04-19,81,(How To Be A) Millionaire,ABC,55.0,20,14.0
73,1975-10-18,54,(I Believe) There's Nothing Stronger Than Our Love,Paul Anka/Odia Coates,41.0,15,13.0
74,1971-02-27,70,(I Can Feel Those Vibrations) This Love Is Real,Jackie Wilson,61.0,56,11.0
75,1968-09-14,97,(I Can Feel Your Love) Slipping Away,Barbara Mason,,97,1.0
76,1965-09-11,41,(I Can't Get No) Satisfaction,The Rolling Stones,31.0,1,14.0
77,1960-10-03,80,(I Can't Help You) I'm Falling Too,Skeeter Davis,51.0,39,7.0
78,1995-03-04,96,(I Could Only) Whisper Your Name,"Harry Connick, Jr.",91.0,67,20.0
79,1963-09-28,79,(I Cried at) Laura's Wedding,Barbara Lynn,68.0,68,8.0
80,1960-11-07,83,(I Do The) Shimmy Shimmy,Bobby Freeman,56.0,37,13.0
81,1959-06-08,82,(I Don't Care) Only Love Me,Steve Lawrence,62.0,62,4.0
82,1973-11-03,59,(I Don't Want To Love You But) You Got Me Anyway,Sutherland Brothers And Quiver,51.0,48,12.0
83,2004-04-10,66,(I Hate) Everything About You,Three Days Grace,69.0,55,20.0
84,1987-07-11,87,(I Just) Died In Your Arms,Cutting Crew,69.0,1,19.0
85,1994-03-05,98,(I Know I Got) Skillz,Shaquille O'Neal,84.0,35,20.0
86,1970-10-31,32,(I Know) I'm Losing You,Rare Earth,21.0,7,14.0
87,1972-01-15,42,(I Know) I'm Losing You,Rod Stewart With Faces,41.0,24,9.0
88,1967-01-21,38,(I Know) I'm Losing You,The Temptations,19.0,8,10.0
89,1987-03-07,92,(I Know) I'm Losing You,Uptown,80.0,80,11.0
90,1963-07-27,45,(I Love You) Don't You Forget It,Perry Como,39.0,39,9.0
91,2005-12-10,100,(I Never Promised You A) Rose Garden,Martina McBride,98.0,98,2.0
92,1970-09-05,98,(I Remember) Summer Morning,Vanity Fare,98.0,98,2.0
93,1959-01-19,91,(I Wanna) Dance With The Teacher,The Olympics,71.0,71,5.0
94,1961-03-20,86,(I Wanna) Love My Life Away,Gene Pitney,53.0,39,8.0
95,1967-09-23,55,(I Wanna) Testify,The Parliaments,22.0,20,13.0
96,1966-07-30,39,(I Washed My Hands In) Muddy Water,Johnny Rivers,22.0,19,8.0
97,1978-05-27,83,(I Will Be Your) Shadow In The Street,Allan Clarke,61.0,41,10.0
98,1962-06-02,51,(I was) Born To Cry,Dion,42.0,42,7.0
99,1974-02-02,88,(I'd Know You) Anywhere,Ashford & Simpson,91.0,88,3.0
100,1959-04-13,66,(I'll Be With You In) Apple Blossom Time,Tab Hunter,58.0,31,11.0
101,1966-06-25,30,(I'm A) Road Runner,Jr. Walker & The All Stars,20.0,20,12.0
102,1974-06-08,82,(I'm A) YoYo Man,Rick Cunha,61.0,61,7.0
103,1975-12-06,81,(I'm Going By) The Stars In Your Eyes,Ron Banks And The Dramatics,85.0,81,3.0
104,1966-03-26,88,(I'm Just A) Fool For You,Gene Chandler,94.0,88,2.0
105,1967-02-04,40,(I'm Not Your) Steppin' Stone,The Monkees,28.0,20,8.0
106,1969-12-13,86,(I'm So) Afraid Of Losing You Again,Charley Pride,74.0,74,6.0
107,1964-02-15,93,(I'm Watching) Every Little Move You Make,Little Peggy March,84.0,84,3.0
108,1962-04-28,53,(I've Got) Bonnie,Bobby Rydell,36.0,18,11.0
109,1961-06-12,93,(I've Got) Spring Fever,Little Willie John,71.0,71,5.0
110,1988-02-13,91,(I've Had) The Time Of My Life,Bill Medley & Jennifer Warnes,77.0,1,21.0
111,2010-12-18,38,(I've Had) The Time Of My Life,Glee Cast,,38,1.0
112,1979-06-30,97,(If Loving You Is Wrong) I Don't Want To Be Right,Barbara Mandrell,73.0,31,16.0
113,1972-09-16,32,(If Loving You Is Wrong) I Don't Want To Be Right,Luther Ingram,24.0,3,16.0
114,1991-06-22,82,(If There Was) Any Other Way,Celine Dion,57.0,35,12.0
115,1960-01-11,68,"(If You Cry) True Love, True Love",The Drifters,55.0,33,11.0
116,1970-09-19,24,(If You Let Me Make Love To You Then) Why Can't I Touch You?,Ronnie Dyson,23.0,8,14.0
117,1975-11-01,98,(If You Want It) Do It Yourself,Gloria Gaynor,100.0,98,2.0
118,1996-02-10,93,(If You're Not In It For Love) I'm Outta Here!/The Woman In Me,Shania Twain,87.0,74,15.0
119,2010-01-16,100,(If You're Wondering If I Want You To) I Want You To,Weezer,,81,9.0
120,1961-05-22,47,(It Never Happens) In Real Life,Chuck Jackson,46.0,46,7.0
121,1958-08-04,46,(It's Been A Long Time) Pretty Baby,Gino & Gina,,46,1.0
122,1990-02-03,92,(It's Just) The Way That You Love Me,Paula Abdul,78.0,3,25.0
123,1964-02-22,84,(It's No) Sin,The Duprees featuring Joey Vann,88.0,74,5.0
124,1972-11-04,65,(It's The Way) Nature Planned It,Four Tops,64.0,53,9.0
125,2011-06-18,100,(It) Feels So Good,Steven Tyler,91.0,35,4.0
126,1964-06-27,36,(Just Like) Romeo & Juliet,The Reflections,23.0,6,12.0
127,1975-06-21,64,(Just Like) Romeo And Juliet,Sha Na Na,63.0,55,10.0
128,1981-03-28,95,(Just Like) Starting Over,John Lennon,49.0,1,22.0
129,1983-10-08,68,(Keep Feeling) Fascination,The Human League,53.0,8,20.0
130,2012-09-01,46,(Kissed You) Good Night,Gloriana,39.0,34,20.0
131,1972-07-15,33,(Last Night) I Didn't Get To Sleep At All,The 5th Dimension,23.0,8,16.0
132,1994-04-23,96,(Lay Your Head On My) Pillow,Tony Toni Tone,87.0,31,15.0
133,1961-01-09,69,(Let's Do) The Hully Gully Twist,Bill Doggett,66.0,66,3.0
134,1967-12-09,35,(Loneliness Made Me Realize) It's You That I Need,The Temptations,27.0,14,9.0
135,1968-08-31,38,(Love Is Like A) Baseball Game,The Intruders,26.0,26,9.0
136,1978-05-20,93,(Love Is) Thicker Than Water,Andy Gibb,47.0,1,29.0
137,1972-03-11,86,(Love Me) Love The Life I Lead,The Fantastics,87.0,86,4.0
138,1961-05-01,61,(Love Theme From) One Eyed Jacks,Ferrante & Teicher,50.0,37,7.0
139,1968-02-24,91,"(Mama Come Quick, and Bring Your) Lickin' Stick",George Torrence & The Naturals,91.0,91,2.0
140,1961-11-06,57,(Marie's The Name) His Latest Flame,Elvis Presley,55.0,4,11.0
141,1994-07-09,90,"(Meet) The Flintstones (From ""The Flintstones"")",The B.C. 52's,70.0,33,8.0
142,1965-10-02,57,(My Girl) Sloopy,Little Caesar And The Consuls,55.0,50,8.0
143,1963-11-02,64,(Native Girl) Elephant Walk,Donald Jenkins & The Delighters,64.0,64,8.0
144,1960-01-11,51,(New In) The Ways Of Love,Tommy Edwards,47.0,47,9.0
145,1959-02-09,95,(Night Time Is) The Right Time,Ray Charles with the Raylettes,,95,1.0
146,1979-11-17,77,(Not Just) Knee Deep - Part 1,Funkadelic,77.0,77,4.0
147,1999-10-16,93,(Now You See Me) Now You Don't,Lee Ann Womack,82.0,72,11.0
148,1959-06-29,95,(Now and Then There's) A Fool Such As I,Elvis Presley With The Jordanaires,71.0,2,15.0
149,1972-03-25,68,(Oh Lord Won't You Buy Me A) Mercedes Benz,Goose Creek Symphony,64.0,64,9.0
150,1969-12-06,92,(One Of These Days) Sunday's Gonna' Come On Tuesday,The New Establishment,96.0,92,2.0
151,1967-01-21,55,(Open Up The Door) Let The Good Times In,Dean Martin,55.0,55,6.0
152,1979-02-10,98,(Our Love) Don't Throw It All Away,Andy Gibb,53.0,9,18.0
153,1985-02-02,94,(Pride) In The Name Of Love,U2,83.0,33,15.0
154,1962-03-03,100,(Quarter To Four) Stomp,The Stompers,,100,1.0
155,2004-12-04,100,(Reach Up For The) Sunrise,Duran Duran,96.0,89,5.0
156,1965-07-03,63,(Remember Me) I'm The One Who Loves You,Dean Martin,36.0,32,7.0
157,1977-08-27,65,(Remember The Days Of The) Old Schoolyard,Cat Stevens,65.0,33,10.0
158,1980-10-25,95,(Sartorial Eloquence) Don't Ya Wanna Play This Game No More?,Elton John,74.0,39,12.0
159,1965-08-21,54,(Say) You're My Girl,Roy Orbison,39.0,39,7.0
160,1965-05-15,79,"(See You At The) ""Go-Go""",Dobie Gray,69.0,69,7.0
161,1960-01-11,82,(Seven Little Girls) Sitting In The Back Seat,Paul Evans and the Curls,73.0,9,18.0
162,1976-11-27,95,"(Shake, Shake, Shake) Shake Your Booty",KC And The Sunshine Band,44.0,1,21.0
163,1971-02-20,75,(She's A) Very Lovely Woman/The Long Way Around,Linda Ronstadt,70.0,70,5.0
164,1995-05-20,71,(She's Got) Skillz,All-4-One,70.0,57,20.0
165,1977-01-08,95,(She's Just A) Fallen Angel,Starz,98.0,95,3.0
166,1994-07-30,96,(She's) Some Kind Of Wonderful,Huey Lewis & The News,84.0,44,12.0
167,1968-11-23,87,(She's) Some Kind Of Wonderful,The Fantastic Johnny C,87.0,87,2.0
168,1975-08-23,43,(Shu-Doo-Pa-Poo-Poop) Love Being Your Fool,Travis Wammack,38.0,38,10.0
169,1968-04-06,84,(Sittin' On) The Dock Of The Bay,King Curtis & The Kingpins,85.0,84,5.0
170,1988-05-14,100,(Sittin' On) The Dock Of The Bay,Michael Bolton,78.0,11,17.0
171,1968-05-11,35,(Sittin' On) The Dock Of The Bay,Otis Redding,19.0,1,16.0
172,1979-05-05,65,(Sittin' On) The Dock Of The Bay,Sammy Hagar,66.0,65,5.0
173,1969-07-26,71,(Sittin' On) The Dock Of The Bay,Sergio Mendes & Brasil '66,66.0,66,5.0
174,1982-08-07,99,(Sittin' On) The Dock Of The Bay,The Reddings,91.0,55,9.0
175,1965-08-07,35,(Such An) Easy Question,Elvis Presley With The Jordanaires,11.0,11,8.0
176,1968-05-18,35,(Sweet Sweet Baby) Since You've Been Gone,Aretha Franklin,25.0,5,12.0
177,1964-03-28,74,(That's) What The Nitty Gritty Is,Shirley Ellis,72.0,72,6.0
178,1965-05-15,58,(The Bees Are For The Birds) The Birds Are For The Bees,The Newbeats,50.0,50,7.0
179,1964-05-23,44,(The Best Part Of) Breakin' Up,The Ronettes,39.0,39,8.0
180,1960-10-24,73,(The Clickity Clack Song) Four Little Heels,Brian Hyland,81.0,73,3.0
181,1968-10-26,39,(The Lament Of The Cherokee) Indian Reservation,Don Fardon,25.0,20,9.0
182,1967-12-30,27,(The Lights Went Out In) Massachusetts,Bee Gees,20.0,11,8.0
183,1962-07-21,58,(The Man Who Shot) Liberty Valance,Gene Pitney,42.0,4,13.0
184,1968-08-03,78,(The Puppet Song) Whiskey On A Sunday,The Irish Rovers,75.0,75,7.0
185,1964-03-14,88,"(The Story Of) Woman, Love And A Man (Part 1)",Tony Clarke,,88,1.0
186,1976-09-25,72,(The System Of) Doctor Tarr And Professor Fether,The Alan Parsons Project,37.0,37,10.0
187,1961-07-03,93,"(Theme From) ""Goodbye Again""",Ferrante & Teicher,85.0,85,4.0
188,1963-11-02,96,(Theme From) Any Number Can Win,Jimmy Smith,,96,1.0
189,1971-03-27,27,(Theme From) Love Story,Henry Mancini And His Orchestra,19.0,13,11.0
190,1961-09-11,83,(Theme From) Silver City,The Ventures,91.0,83,3.0
191,1960-11-07,93,(Theme From) The Sundowners,Mantovani & His Orchestra,,93,1.0
192,1968-04-13,22,(Theme From) Valley Of The Dolls,Dionne Warwick,17.0,2,13.0
193,1960-11-28,98,"(Theme from) ""The Dark At The Top Of The Stairs""",Ernie Freeman,80.0,70,6.0
194,1962-09-15,67,(Theme from) A Summer Place,Dick Roman,64.0,64,7.0
195,1977-05-14,93,(Theme from) Charlie's Angels,Henry Mancini And His Orchestra,57.0,45,9.0
196,1961-05-01,67,(Theme from) My Three Sons,Lawrence Welk And His Orchestra,57.0,55,7.0
197,1961-04-03,90,(Theme from) The Great Impostor,Henry Mancini And His Orchestra,,90,1.0
198,1960-05-09,84,(There Was A) Tall Oak Tree,Dorsey Burnette,70.0,23,15.0
199,1965-01-09,84,(There'll Come A Day When) Ev'ry Little Bit Hurts,Bobby Vee,86.0,84,5.0
200,2004-01-31,82,(There's Gotta Be) More To Life,Stacie Orrico,62.0,30,20.0
201,2021-01-02,22,(There's No Place Like) Home For The Holidays,Perry Como,43.0,22,7.0
202,2022-01-02,29,(There's No Place Like) Home For The Holidays (1959),Perry Como With Mitchell Ayers And His Orchestra,28,22,12.0
203,1968-09-28,67,(There's) Always Something There To Remind Me,Dionne Warwick,65.0,65,5.0
204,1964-10-03,49,(There's) Always Something There To Remind Me,Lou Johnson,51.0,49,7.0
205,1965-01-09,60,(There's) Always Something There To Remind Me,Sandie Shaw,52.0,52,7.0
206,1981-11-07,95,(There's) No Gettin' Over Me,Ronnie Milsap,66.0,5,20.0
207,1970-10-10,57,(They Long To Be) Close To You,Carpenters,31.0,1,17.0
208,1972-09-23,96,(They Long To Be) Close To You,Jerry Butler & Brenda Lee Eager,91.0,91,3.0
209,1963-05-25,50,(Today I Met) The Boy I'm Gonna Marry,Darlene Love,44.0,39,8.0
210,1981-10-31,93,(Want You) Back In My Life Again,Carpenters,72.0,72,8.0
211,1967-03-11,35,(We Ain't Got) Nothin' Yet,Blues Magoos,12.0,5,14.0
212,1966-08-20,78,(We'll Be) United,The Intruders,82.0,78,6.0
213,1969-05-24,68,(We've Got) Honey Love,Martha Reeves & The Vandellas,56.0,56,6.0
214,1960-05-09,53,(Welcome) New Lovers,Pat Boone,52.0,18,12.0
215,1962-05-05,79,(What A Sad Way) To Love Someone,Ral Donner,74.0,74,7.0
216,1978-04-22,99,(What A)  Wonderful World,Art Garfunkel With James Taylor & Paul Simon,99.0,17,14.0
217,1966-12-17,54,(When She Needs Good Lovin') She Comes To Me,The Chicago Loop,39.0,37,7.0
218,2006-11-04,44,(When You Gonna) Give It Up To Me,Sean Paul Feat. Keyshia Cole,32.0,3,22.0
219,1971-05-01,24,(Where Do I Begin) Love Story,Andy Williams,20.0,9,13.0
220,1979-07-14,96,(Wish I Could Fly Like) Superman,The Kinks,99.0,41,12.0
221,1960-12-12,90,(You Better) Know What You're Doin',Lloyd Price and His Orchestra,98.0,90,2.0
222,1984-02-18,96,(You Can Still) Rock In America,Night Ranger,74.0,51,12.0
223,1968-03-09,94,(You Can't Let The Boy Overpower) The Man In You,Chuck Jackson,,94,1.0
224,1964-04-04,59,(You Can't Let The Boy Overpower) The Man In You,The Miracles,63.0,59,5.0
225,1966-11-26,40,(You Don't Have To) Paint Me A Picture,Gary Lewis And The Playboys,28.0,15,8.0
226,1964-09-05,44,(You Don't Know) How Glad I Am,Nancy Wilson,23.0,11,11.0
227,2000-01-29,99,(You Drive Me) Crazy,Britney Spears,87.0,10,20.0
228,1978-12-02,81,(You Got To Walk And) Don't Look Back,Peter Tosh with Mick Jagger,81.0,81,5.0
229,1987-04-18,100,(You Gotta) Fight For Your Right (To Party!),Beastie Boys,65.0,7,18.0
230,1968-07-20,35,(You Keep Me) Hangin' On,Joe Simon,25.0,25,15.0
231,1967-11-25,33,(You Make Me Feel Like) A Natural Woman,Aretha Franklin,11.0,8,9.0
232,1995-11-04,100,"(You Make Me Feel Like) A Natural Woman (From ""New York Undercover"")",Mary J. Blige,95.0,95,2.0
233,1966-08-20,56,(You Make Me Feel) So Good,The McCoys,53.0,53,4.0
234,2007-09-29,98,(You Want To) Make A Memory,Bon Jovi,92.0,27,20.0
235,1960-10-03,52,(You Were Made For) All My Love,Jackie Wilson,36.0,12,13.0
236,1966-02-26,53,(You're Gonna) Hurt Yourself,Frankie Valli,46.0,39,7.0
237,1989-11-25,87,(You're My One And Only) True Love,Seduction,73.0,23,21.0
238,1978-01-28,77,(You're My) Soul And Inspiration,Donny & Marie Osmond,38.0,38,11.0
239,1966-05-28,33,(You're My) Soul And Inspiration,The Righteous Brothers,11.0,1,13.0
240,1987-10-17,92,(You're Puttin') A Rush On Me,Stephanie Mills,85.0,85,2.0
241,1963-09-07,42,(You're the) Devil In Disguise,Elvis Presley With The Jordanaires,17.0,3,11.0
242,1974-10-12,47,(You're) Having My Baby,Paul Anka with Odia Coates,25.0,1,15.0
243,1970-06-27,50,(You've Got Me) Dangling On A String,Chairman Of The Board,45.0,38,9.0
244,1960-11-14,58,(You've Got To) Move Two Mountains,Marv Johnson,47.0,20,11.0
245,1968-02-24,87,(You've Got) Personality And Chantilly Lace,Mitch Ryder,87.0,87,4.0
246,1967-10-28,30,(Your Love Keeps Lifting Me) Higher And Higher,Jackie Wilson,15.0,6,12.0
247,1974-06-01,96,(everybody Wanna Get Rich) Rite Away,Dr. John,92.0,92,4.0
248,1974-06-22,38,(i've Been) Searchin' So Long,Chicago,26.0,9,15.0
249,1975-04-26,54,(if You Add) All The Love In The World,Mac Davis,54.0,54,4.0
250,1982-05-22,97,(oh) Pretty Woman,Van Halen,76.0,12,16.0
251,1976-11-20,81,(one More Year Of) Daddy's Little Girl,Ray Sawyer,81.0,81,3.0
252,1983-11-12,71,(she's) Sexy + 17,Stray Cats,38.0,5,15.0
253,1984-10-27,97,(what) In The Name Of Love,Naked Eyes,81.0,39,12.0
254,1983-01-15,96,"(you're So Square) Baby, I Don't Care",Joni Mitchell,76.0,47,9.0
255,1977-11-05,99,(your Love Has Lifted Me) Higher And Higher,Rita Coolidge,99.0,2,27.0
256,2015-02-21,97,***Flawless,Beyonce Featuring Nicki Minaj Or Chimamanda Ngozi Adichie,100.0,41,20.0
257,1962-05-19,96,-twistin'-White Silver Sands,Bill Black's Combo,,92,2.0
258,1965-05-15,43,......And Roses And Roses,Andy Williams,36.0,36,7.0
259,1962-10-13,68,...And Then There Were Drums,Sandy Nelson,65.0,65,4.0
260,1999-06-26,49,...Baby One More Time,Britney Spears,46.0,1,32.0
261,2018-01-27,96,...Ready For It?,Taylor Swift,80.0,4,20.0
262,2014-12-20,64,0 To 100 / The Catch Up,Drake,63.0,35,20.0
263,2017-01-07,67,1 Night,Lil Yachty,73.0,49,20.0
264,2021-06-26,95,"1 Step Forward, 3 Steps Back",Olivia Rodrigo,65.0,19,4.0
265,2005-06-25,64,1 Thing,Amerie,61.0,8,20.0
266,2011-06-18,89,1+1,Beyonce,57.0,57,2.0
267,2019-09-28,97,"1, 2 Many",Luke Combs & Brooks & Dunn,,97,1.0
268,2005-07-23,50,"1, 2 Step",Ciara Featuring Missy Elliott,44.0,2,39.0
269,2009-06-20,47,"1, 2, 3, 4",Plain White T's,50.0,34,20.0
270,1996-07-27,50,"1, 2, 3, 4 (Sumpin' New)",Coolio,50.0,5,21.0
271,1968-10-19,28,"1, 2, 3, Red Light",1910 Fruitgum Co.,23.0,5,13.0
272,1978-02-18,91,"1,000 Laughs",Eloise Laws,92.0,91,6.0
273,1988-10-08,94,1-2-3,Gloria Estefan & Miami Sound Machine,68.0,3,19.0
274,1966-01-01,41,1-2-3,Len Barry,27.0,2,15.0
275,1990-03-03,100,1-2-3,The Chimes,87.0,86,5.0
276,1992-09-26,98,1-4-All-4-1,East Coast Family,91.0,81,6.0
277,2018-02-24,45,1-800-273-8255,Logic Featuring Alessia Cara & Khalid,40.0,3,42.0
278,1995-05-27,93,1-Luv,E-40 (Featuring Leviti),87.0,71,14.0
279,2019-01-05,86,1.5,21 Savage,,86,1.0
280,2015-05-23,100,10 Bands,Drake,92.0,58,13.0
281,2018-12-08,70,10 Freaky Girls,Metro Boomin Featuring 21 Savage,63.0,42,4.0
282,1965-05-01,65,10 Little Bottles,Johnny Bond,43.0,43,8.0
283,2020-05-09,46,"10,000 Hours",Dan + Shay & Justin Bieber,41.0,4,30.0
284,1984-09-08,95,10-9-8,Face To Face,83.0,38,15.0
285,2015-11-14,100,100,The Game Featuring Drake,88.0,82,10.0
286,2015-08-29,100,100 Grandkids,Mac Miller,,100,1.0
287,2004-07-10,49,100 Years,Five For Fighting,47.0,28,22.0
288,1968-04-27,69,100 Years,Nancy Sinatra,69.0,69,6.0
289,1995-04-01,50,100% Pure Love,Crystal Waters,47.0,11,45.0
290,2021-06-05,80,100.mil',J. Cole & Bas,14.0,14,2.0
291,2023-03-26,85,10:35,Tiesto Featuring Tate McRae,89,69,9.0
292,2008-01-19,85,1234,Feist,59.0,8,15.0
293,1971-06-19,51,13 Questions,Seatrain,51.0,49,12.0
294,2018-12-08,72,1400 / 999 Freestyle,Trippie Redd Featuring Juice WRLD,68.0,55,3.0
295,2010-09-11,93,143,Bobby Brackins Featuring Ray J,85.0,76,11.0
296,1968-12-07,51,1432 Franklin Pike Circle Hero,Bobby Russell,40.0,36,7.0
297,2000-01-15,78,15 Minutes,Marc Nelson,67.0,27,16.0
298,1959-04-13,64,16 Candles,The Crests,51.0,2,21.0
299,1984-10-13,99,17,Rick James,94.0,36,14.0
300,2014-05-24,90,17 Again,Brantley Gilbert,,90,1.0
301,2014-11-29,87,18,One Direction,,87,1.0
302,1989-11-18,100,18 And Life,Skid Row,74.0,4,20.0
303,1963-07-13,61,18 Yellow Roses,Bobby Darin,26.0,10,10.0
304,2023-03-19,96,180 (Lifestyle),Morgan Wallen,63,63,2.0
305,1985-08-31,85,19,Paul Hardcastle,61.0,15,14.0
306,2003-04-05,46,19 Somethin',Mark Wills,41.0,23,20.0
307,2014-05-17,91,19 You + Me,Dan + Shay,68.0,42,18.0
308,1971-03-13,56,1900 Yesterday,Liz Damon's Orient Express,53.0,33,12.0
309,2010-04-03,99,1901,Phoenix,99.0,84,13.0
310,1971-04-17,88,1927 Kansas City,Mike Reilly,89.0,88,6.0
